Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013070,บริษัท สหไทยอุตสาหกรรมแผ่นกั้น,DM-PM1907017,RB15966219,2019-08-14,MR. PRAMOTE R.,08/2019,2019-11-12,1.00000,THB,"77,425.20",THB,"77,425.20","77,425.20",0.00,0.00,0.00,0.00,1000196892,,RB1
BG00012983,บริษัท นิปปอนเพนต์ เดคโคเรทีฟ,2110041049,RB15966220,2019-08-14,MS. KULASAB,08/2019,2019-12-12,1.00000,THB,"406,600.00",THB,"406,600.00","406,600.00",0.00,0.00,0.00,0.00,1000191772,,RB1
BG00013004,บริษัท  พลาสติคอน เอเชีย จำกัด,6208017,RB15966221,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-11-12,1.00000,THB,"58,593.20",THB,"58,593.20","58,593.20",0.00,0.00,0.00,0.00,1000198958,,
BG00013426,บริษัท วาไรตี้แพ็ค จำกัด,PO62-116,RB15966222,2019-08-14,TAKDANAI Y.,08/2019,2019-10-13,1.00000,THB,"49,305.60",THB,"49,305.60","49,305.60",0.00,0.00,0.00,0.00,1000198942,,
BG00012897,บริษัท คอลลีน เพนซิล (ประเทศไท,62080293,RB15966223,2019-08-14,MR. PRAMOTE R.,08/2019,2019-09-13,1.00000,THB,"139,100.00",THB,"139,100.00","139,100.00",0.00,0.00,0.00,0.00,1000198978,,RB1
BG00013158,บริษัท  เลิศวัฒนกิจ  จำกัด,'-,RB15966224,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-12-12,1.00000,THB,"285,048.00",THB,"285,048.00","285,048.00",0.00,0.00,0.00,0.00,1000198986,,RB1
BG00013255,บริษัท บี เอ็น เอส อุตสาหกรรมไ,PO6200908,RB15966227,2019-08-14,MR. PRAMOTE R.,08/2019,2019-09-13,1.00000,THB,"97,637.50",THB,"97,637.50","97,637.50",0.00,0.00,0.00,0.00,1000198944,,
BG00014042,บริษัท เอ็นเอชเค สปริง (ประเทศ,29G48190,RB15966228,2019-08-14,MR. WICHANCHAI  S.,08/2019,2019-10-13,1.00000,THB,"67,003.40",THB,"67,003.40","67,003.40",0.00,0.00,0.00,0.00,1000198852,,RB1
BG00014042,บริษัท เอ็นเอชเค สปริง (ประเทศ,29G48189,RB15966229,2019-08-14,MR. WICHANCHAI  S.,08/2019,2019-10-13,1.00000,THB,"33,501.70",THB,"33,501.70","33,501.70",0.00,0.00,0.00,0.00,1000198851,,RB1
BG00012072,บริษัท พรีเมียร์ โพรดักส์ จำกั,19001591/OP,RB15966230,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-11-12,1.00000,THB,"76,151.90",THB,"76,151.90","76,151.90",0.00,0.00,0.00,0.00,1000198863,,RB1
