Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CJ7009,13-09-17,13-09-18,14-09-17,40000038959,Viscosity,A093,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK7010,06-10-17,06-10-18,06-10-17,40000039695,Acid Value,8.9,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK7010,06-10-17,06-10-18,06-10-17,40000039695,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK7010,06-10-17,06-10-18,06-10-17,40000039695,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK7010,06-10-17,06-10-18,06-10-17,40000039695,Non Volatile Content,66.6,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CK7010,06-10-17,06-10-18,06-10-17,40000039695,Viscosity,A091,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL7011,10-11-17,10-11-18,11-11-17,40000040864,Acid Value,9.3,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL7011,10-11-17,10-11-18,11-11-17,40000040864,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL7011,10-11-17,10-11-18,11-11-17,40000040864,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL7011,10-11-17,10-11-18,11-11-17,40000040864,Non Volatile Content,65.3,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CL7011,10-11-17,10-11-18,11-11-17,40000040864,Viscosity,A090,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CM7012,17-12-17,17-12-18,17-12-17,40000042369,Acid Value,9.0,8.0,10.0,JIS K5407
